Model,Overwrite,NSS,CCI,Acc,Std,Latex
standard-vgg-fine-tune-scratch,0,3,1,08.4,0.00,$8.4$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,3,1,21.3,0.00,$21.3$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,5,1,04.5,0.00,$4.5$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,5,1,20.8,0.00,$20.8$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,10,1,02.4,0.00,$2.4$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,10,1,20.5,0.00,$20.5$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,4,2,06.3,0.00,$6.3$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,8,2,03.0,0.00,$3$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,3,3,24.4,0.00,$24.4$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,5,5,24.7,0.00,$24.7$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,10,10,24.9,0.00,$24.9$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-matching-network,0,1,1,41.8,0.16,$41.8$\scalebox{0.75}{$ \mypm0.16$}&
standard-vgg-matching-network,0,3,1,24.1,0.05,$24.1$\scalebox{0.75}{$ \mypm0.05$}&
standard-vgg-matching-network,1,3,1,25.9,0.23,$25.9$\scalebox{0.75}{$ \mypm0.23$}&
standard-vgg-matching-network,0,5,1,18.2,0.14,$18.2$\scalebox{0.75}{$ \mypm0.14$}&
standard-vgg-matching-network,1,5,1,22.7,0.09,$22.7$\scalebox{0.75}{$ \mypm0.09$}&
standard-vgg-matching-network,0,10,1,12.3,0.09,$12.3$\scalebox{0.75}{$ \mypm0.09$}&
standard-vgg-matching-network,1,10,1,21.0,0.06,$21$\scalebox{0.75}{$ \mypm0.06$}&
standard-vgg-matching-network,0,4,2,16.5,0.06,$16.5$\scalebox{0.75}{$ \mypm0.06$}&
standard-vgg-matching-network,0,8,2,11.6,0.02,$11.6$\scalebox{0.75}{$ \mypm0.02$}&
standard-vgg-matching-network,1,3,3,43.1,0.24,$43.1$\scalebox{0.75}{$ \mypm0.24$}&
standard-vgg-matching-network,1,5,5,43.3,0.03,$43.3$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-matching-network,1,10,10,43.7,0.15,$43.7$\scalebox{0.75}{$ \mypm0.15$}&
